date,url,title,dates2,month,year
"marzo 21, 2024",https://lopezobrador.org.mx/2024/03/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-oaxaca-9/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Oaxaca",2024-03-21,3,2024
"marzo 20, 2024",https://lopezobrador.org.mx/2024/03/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1147/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-20,3,2024
"marzo 19, 2024",https://lopezobrador.org.mx/2024/03/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1146/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-19,3,2024
"marzo 18, 2024",https://lopezobrador.org.mx/2024/03/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1145/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-18,3,2024
"marzo 15, 2024",https://lopezobrador.org.mx/2024/03/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-baja-california-sur-4/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Baja California Sur",2024-03-15,3,2024
"marzo 14, 2024",https://lopezobrador.org.mx/2024/03/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-baja-california-3/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Baja California",2024-03-14,3,2024
"marzo 13, 2024",https://lopezobrador.org.mx/2024/03/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1144/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-13,3,2024
"marzo 12, 2024",https://lopezobrador.org.mx/2024/03/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1143/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-12,3,2024
"marzo 11, 2024",https://lopezobrador.org.mx/2024/03/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1142/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-11,3,2024
"marzo 8, 2024",https://lopezobrador.org.mx/2024/03/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-michoacan-2/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Michoacán",2024-03-08,3,2024
"marzo 7, 2024",https://lopezobrador.org.mx/2024/03/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-tamaulipas-2/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Tamaulipas",2024-03-07,3,2024
"marzo 6, 2024",https://lopezobrador.org.mx/2024/03/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1141/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-06,3,2024
"marzo 5, 2024",https://lopezobrador.org.mx/2024/03/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1140/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-05,3,2024
"marzo 4, 2024",https://lopezobrador.org.mx/2024/03/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1139/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-04,3,2024
"marzo 1, 2024",https://lopezobrador.org.mx/2024/03/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1138/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-01,3,2024
"febrero 29, 2024",https://lopezobrador.org.mx/2024/02/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-quintana-roo-5/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Quintana Roo",2024-02-29,2,2024
"febrero 28, 2024",https://lopezobrador.org.mx/2024/02/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-chiapas-5/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Chiapas",2024-02-28,2,2024
"febrero 27, 2024",https://lopezobrador.org.mx/2024/02/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1137/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-27,2,2024
"febrero 26, 2024",https://lopezobrador.org.mx/2024/02/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1136/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-26,2,2024
"febrero 23, 2024",https://lopezobrador.org.mx/2024/02/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1135/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-23,2,2024
"febrero 22, 2024",https://lopezobrador.org.mx/2024/02/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1134/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-22,2,2024
"febrero 21, 2024",https://lopezobrador.org.mx/2024/02/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1133/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-21,2,2024
"febrero 20, 2024",https://lopezobrador.org.mx/2024/02/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1132/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-20,2,2024
"febrero 19, 2024",https://lopezobrador.org.mx/2024/02/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1131/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Puebla",2024-02-19,2,2024
"febrero 16, 2024",https://lopezobrador.org.mx/2024/02/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1130/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-16,2,2024
"febrero 15, 2024",https://lopezobrador.org.mx/2024/02/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1129/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-15,2,2024
"febrero 14, 2024",https://lopezobrador.org.mx/2024/02/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1128/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-14,2,2024
"febrero 13, 2024",https://lopezobrador.org.mx/2024/02/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1127/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-13,2,2024
"febrero 12, 2024",https://lopezobrador.org.mx/2024/02/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1126/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-12,2,2024
"febrero 8, 2024",https://lopezobrador.org.mx/2024/02/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1125/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-08,2,2024
"febrero 7, 2024",https://lopezobrador.org.mx/2024/02/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1124/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-07,2,2024
"febrero 6, 2024",https://lopezobrador.org.mx/2024/02/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1123/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-06,2,2024
"febrero 2, 2024",https://lopezobrador.org.mx/2024/02/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1122/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-02,2,2024
"febrero 1, 2024",https://lopezobrador.org.mx/2024/02/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1121/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-02-01,2,2024
"enero 31, 2024",https://lopezobrador.org.mx/2024/01/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1120/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-01-31,1,2024
"enero 30, 2024",https://lopezobrador.org.mx/2024/01/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1119/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-01-30,1,2024
