,Unnamed: 0,date,url,title,dates2,month,year,Unnamed: 6,Unnamed: 7
1219,1247,"octubre 11, 2023",https://lopezobrador.org.mx/2023/10/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1060/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-11,10,2023,,
1220,1248,"octubre 13, 2023",https://lopezobrador.org.mx/2023/10/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1061/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-13,10,2023,,
1226,1254,"octubre 23, 2023",https://lopezobrador.org.mx/2023/10/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1067/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-23,10,2023,,
1228,1256,"octubre 25, 2023",https://lopezobrador.org.mx/2023/10/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1069/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-25,10,2023,,
1231,1259,"octubre 30, 2023",https://lopezobrador.org.mx/2023/10/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1072/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-30,10,2023,,
1234,1262,"noviembre 3, 2023",https://lopezobrador.org.mx/2023/11/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1075/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-03,11,2023,,
1235,1263,"noviembre 6, 2023",https://lopezobrador.org.mx/2023/11/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1076/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-06,11,2023,,
1236,1264,"noviembre 7, 2023",https://lopezobrador.org.mx/2023/11/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1077/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-07,11,2023,,
1238,1266,"noviembre 9, 2023",https://lopezobrador.org.mx/2023/11/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1079/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-09,11,2023,,
1250,1278,"noviembre 30, 2023",https://lopezobrador.org.mx/2023/11/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1086/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-11-30,11,2023,,
